nome,ruolo,squadra,quotazione
Sanabria Antonio,A,Cremonese,4
Vardy Jamie,A,Cremonese,27
Kean Moise,A,Fiorentina,50
Piccoli Roberto,A,Fiorentina,21
Colombo Lorenzo,A,Genoa,35
Ekhator Jeff,A,Genoa,6
Ekuban Caleb,A,Genoa,9
Vitinha,A,Genoa,27
Bonny,A,Inter,23
Esposito Francesco Pio,A,Inter,25
Martinez Lautaro,A,Inter,77
Thuram Marcus,A,Inter,64
Boga Jeremie,A,Juventus,18
Jonathan David,A,Juventus,41
Milik Arkadiusz,A,Juventus,1
Openda Lois,A,Juventus,23
Vlahovic Dusan,A,Juventus,25
Yıldız Kenan,A,Juventus,46
Cancellieri Matteo,A,Lazio,8
Dia Boulaye,A,Lazio,21
Noslin Tijjani,A,Lazio,11
Pedro,A,Lazio,14
Ratkov Petar,A,Lazio,19
Burnete Rares,A,Lecce,1
Camarda Francesco,A,Lecce,1
Cheddira Walid,A,Lecce,10
Jovis Milos,A,Lecce,1
Konan Ndri,A,Lecce,1
Paco Esteban,A,Lecce,1
Stulic Nikola,A,Lecce,29
Fullkrug Niclas,A,Milan,27
Gimenez Santiago,A,Milan,21
Leao Rafael,A,Milan,48
Nkunku Christopher,A,Milan,48
Giovane Santana,A,Napoli,15
Hojlund Rasmus,A,Napoli,64
Lukaku Romelu,A,Napoli,17
Popovic Matija,A,Napoli,1
Benedyczak Adrian,A,Parma,1
Elphege,A,Parma,7
Oristanio Gaetano Pio,A,Parma,1
Pellegrino Matteo,A,Parma,37
Dubickas Edgaras,A,Pisa,1
Durosinmi Rafiu,A,Pisa,11
Giani Elia,A,Pisa,1
Meister Henrik,A,Pisa,6
Moreo Stefano,A,Pisa,15
Stojilkovic Filip,A,Pisa,10
Dovbyk Artem,A,Roma,22
Dybala Paulo,A,Roma,24
El Shaarawy Stephan,A,Roma,3
Ferguson Joe,A,Roma,11
Malen Donyell,A,Roma,54
Soule Matias,A,Roma,36
Vaz Robinio,A,Roma,13
Venturino Lorenzo,A,Roma,1
Alvarez Agustin Martinez,A,Sassuolo,1
Berardi Domenico,A,Sassuolo,41
Lauriente Armand,A,Sassuolo,43
MBala Nzola,A,Sassuolo,18
Moro Luca,A,Sassuolo,1
Pinamonti Andrea,A,Sassuolo,41
Aboukhlal Zakaria,A,Torino,1
Adams Che,A,Torino,26
Franzoni Nicolo,A,Torino,1
Kulenovic Sandro,A,Torino,12
Njie Alieu,A,Torino,5
Simeone Giovanni,A,Torino,31
Sow Asane,A,Torino,1
Zapata Duvan,A,Torino,14
Zeppieri Michael,A,Torino,1
Bayo Vakoun Issouf,A,Udinese,2
Buska Adam,A,Udinese,18
Davis Keinan,A,Udinese,32
Gueye Idrissa,A,Udinese,7
Bowie Kieron,A,Verona,25
Isaac Aguilar Tomich,A,Verona,1
Mosquera Daniel,A,Verona,1
Orban Gift,A,Verona,26
Sarr Amin,A,Verona,10
