nome,ruolo,ruolo_mantra,squadra,presenze,media_voto,fantamedia,gol,gol_subiti,rigori_tirati,rigori_parati,assist,ammonizioni,espulsioni,stagione
Dallinga,A,Pc,BOL,19,5.82,6.13,2,0,0,0,1,2,0,2025-26
Zapata D.,A,Pc,TOR,23,5.83,6.13,3,0,0,0,1,0,0,2025-26
Cuadrado,D,E,PIS,15,6.03,6.13,1,0,1,0,0,3,0,2025-26
Moro N.,C,M;C,BOL,28,5.93,6.12,2,0,0,0,0,1,0,2025-26
Baschirotto,D,Dc,CRE,29,5.95,6.12,2,0,0,0,0,2,0,2025-26
Stulic,A,Pc,LEC,30,5.73,6.12,4,0,1,0,0,1,0,2025-26
Miranda J.,D,Ds;E,BOL,31,6.0,6.1,1,0,0,0,3,6,0,2025-26
Martin,D,Ds;E,GEN,29,5.97,6.1,1,0,0,0,5,2,0,2025-26
Lobotka,C,M;C,NAP,31,6.05,6.1,1,0,0,0,0,3,0,2025-26
El Aynaoui,C,M;C,ROM,21,5.98,6.1,1,0,0,0,2,5,0,2025-26
Maripan,D,Dc,TOR,26,5.94,6.1,2,0,0,0,0,4,0,2025-26
Diego Carlos,D,Dc,COM,25,6.14,6.1,1,0,0,0,0,8,0,2025-26
Kossounou,D,Dd;Dc,ATA,16,5.94,6.09,1,0,0,0,0,1,0,2025-26
Idrissi R.,D,Ds;E,CAG,17,5.82,6.09,2,0,0,0,0,3,0,2025-26
Norton-Cuffy,D,Dd;E,GEN,27,5.93,6.09,2,0,0,0,1,3,1,2025-26
N'Dri,A,W;A,LEC,17,5.82,6.09,2,0,0,0,0,3,0,2025-26
Musah,C,C;W,ATA,16,5.94,6.09,1,0,0,0,0,1,0,2025-26
Valeri,D,Ds;E,PAR,34,6.06,6.09,0,0,0,0,2,2,0,2025-26
Ndour,C,M;C,FIO,30,5.8,6.07,3,0,0,0,0,2,0,2025-26
Kelly L.,D,Ds;Dc,JUV,35,6.01,6.07,1,0,0,0,1,4,0,2025-26
Mosquera,A,Pc,VER,14,5.96,6.07,0,0,0,0,2,1,0,2025-26
De Vrij,D,Dc,INT,8,6.12,6.06,0,0,0,0,0,1,0,2025-26
Luis Henrique,C,E;W,INT,27,5.89,6.06,1,0,0,0,2,1,0,2025-26
Fofana Y.,C,M;C,MIL,33,5.85,6.06,2,0,0,0,3,4,0,2025-26
Keita M.,C,M;C,PAR,36,6.01,6.06,1,0,0,0,1,1,0,2025-26
Almqvist,A,W;A,PAR,9,5.94,6.06,0,0,0,0,1,0,0,2025-26
Fabbian,C,C;T,FIO,22,5.8,6.05,2,0,0,0,0,2,0,2025-26
Folino,D,Dc,CRE,11,5.77,6.05,1,0,0,0,0,0,0,2025-26
Bartesaghi,D,Ds;E,MIL,31,5.97,6.05,2,0,0,0,0,3,0,2025-26
Freuler,C,M;C,BOL,28,6.02,6.04,1,0,0,0,2,5,0,2025-26
Dominguez B.,A,W;A,BOL,12,5.83,6.04,0,0,0,0,3,1,0,2025-26
Dodò,D,E,FIO,36,5.99,6.03,1,0,0,0,2,7,0,2025-26
Nicolussi Caviglia,C,M;C,PAR,23,5.89,6.02,0,0,0,0,4,4,0,2025-26
Tiago Gabriel,D,Dc,LEC,36,6.0,6.01,2,0,0,0,0,7,0,2025-26
Delprato,D,B;Dd;E,PAR,35,5.91,6.01,2,0,0,0,0,5,0,2025-26
De Roon,C,M;C,ATA,34,5.97,6.0,1,0,0,0,2,6,1,2025-26
Darmian,D,B;Dd;E,INT,5,6.0,6.0,0,0,0,0,0,0,0,2025-26
Joao Mario,D,E,BOL,14,5.79,6.0,1,0,0,0,1,2,0,2025-26
Milik,A,Pc,JUV,2,6.0,6.0,0,0,0,0,0,0,0,2025-26
Pierret,C,M;C,LEC,1,6.0,6.0,0,0,0,0,0,0,0,2025-26
Terracciano,P,Por,MIL,2,6.0,6.0,0,0,0,0,0,0,0,2025-26
Lucca,A,Pc,NAP,9,5.72,6.0,1,0,0,0,0,1,0,2025-26
Djuric,A,Pc,CRE,9,6.0,6.0,0,0,0,0,1,2,0,2025-26
Tramoni M.,C,W;T,PIS,25,5.72,6.0,2,0,1,0,2,3,0,2025-26
Ngonge,A,A,TOR,17,5.82,6.0,1,0,0,0,1,2,0,2025-26
Bernede,C,C,VER,31,5.87,6.0,1,0,0,0,2,2,0,2025-26
Kastanos,C,C;T,VER,1,6.0,6.0,0,0,0,0,0,0,0,2025-26
Ilkhan,C,C;T,TOR,17,5.82,6.0,1,0,0,0,2,2,1,2025-26
Kouamè,A,A,FIO,1,6.0,6.0,0,0,0,0,0,0,0,2025-26
Kouadio,D,Dc,FIO,1,6.0,6.0,0,0,0,0,0,0,0,2025-26
Sala A.,C,C,LEC,4,5.75,6.0,0,0,0,0,1,0,0,2025-26
Lamptey,D,Dd;Ds;E,FIO,1,6.0,6.0,0,0,0,0,0,0,0,2025-26
Openda,A,Pc,JUV,14,5.79,6.0,1,0,0,0,0,0,0,2025-26
Cremaschi,C,C,PAR,1,6.0,6.0,0,0,0,0,0,0,0,2025-26
Arena A.,A,Pc,ROM,1,6.0,6.0,0,0,0,0,0,0,0,2025-26
Isaac,A,Pc,VER,1,6.0,6.0,0,0,0,0,0,0,0,2025-26
Durosinmi,A,Pc,PIS,10,5.7,6.0,1,0,0,0,1,1,1,2025-26
Zatterstrom,D,Dc,GEN,2,6.0,6.0,0,0,0,0,0,0,0,2025-26
Albarracin,A,A,CAG,2,6.0,6.0,0,0,0,0,0,0,0,2025-26
Carboni F.,D,Ds;E,PAR,2,6.0,6.0,0,0,0,0,0,0,0,2025-26
Zaragoza,C,W;A,ROM,3,5.83,6.0,0,0,0,0,1,1,0,2025-26
Mikolajewski,A,Pc,PAR,1,6.0,6.0,0,0,0,0,0,0,0,2025-26
Cambiaso,D,E,JUV,36,5.81,5.99,3,0,0,0,4,3,1,2025-26
Gallo,D,Ds;E,LEC,37,5.95,5.99,0,0,0,0,3,3,0,2025-26
Zappa,D,B;Dd;E,CAG,25,5.9,5.98,0,0,0,0,3,2,0,2025-26
Parisi,D,E,FIO,23,6.02,5.98,1,0,0,0,1,6,0,2025-26
Frendrup,C,M;C,GEN,36,5.96,5.97,1,0,0,0,0,5,0,2025-26
Marusic,D,Dd;Ds;E,LAZ,33,5.86,5.97,1,0,0,0,2,1,1,2025-26
Van Der Brempt,D,Dd;E,COM,14,5.96,5.96,0,0,0,0,1,2,0,2025-26
Fortini,D,E,FIO,12,5.96,5.96,0,0,0,0,0,0,0,2025-26
Vecino,C,M;C,LAZ,12,5.92,5.96,0,0,0,0,1,1,0,2025-26
Zaccagni,C,W;A,LAZ,26,5.88,5.96,3,0,0,0,0,6,1,2025-26
Pedersen,D,Dd;E,TOR,28,5.84,5.96,1,0,0,0,2,3,0,2025-26
Ehizibue,D,Dd;E,UDI,26,5.83,5.96,2,0,0,0,0,5,0,2025-26
Karlstrom,C,M;C,UDI,36,5.96,5.96,1,0,0,0,0,6,0,2025-26
Matic,C,M;C,SAS,34,5.96,5.96,1,0,0,0,1,6,1,2025-26
Elmas,C,W;T,NAP,28,5.8,5.96,1,0,0,0,3,3,0,2025-26
Zhegrova,C,W,JUV,12,5.96,5.96,0,0,0,0,0,1,0,2025-26
De Silvestri,D,Dd;E,BOL,10,6.05,5.95,0,0,0,0,0,2,0,2025-26
Deiola,C,M;C,CAG,20,5.98,5.95,0,0,0,0,1,3,0,2025-26
Gila,D,Dc,LAZ,31,6.03,5.95,0,0,0,0,0,3,1,2025-26
Ghilardi,D,Dc,ROM,21,5.98,5.95,0,0,0,0,0,1,0,2025-26
Piotrowski,C,C,UDI,30,5.88,5.95,1,0,0,0,0,2,0,2025-26
Miller L.,C,M;C,UDI,19,5.92,5.95,0,0,0,0,2,4,0,2025-26
